,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
380,2011-07-18,9378718,2398929036,261.0,261.0,251.0,251.0,-12.0,7182
381,2011-07-19,8439444,2174049940,253.0,260.5,253.0,259.5,8.5,6002
382,2011-07-20,16497920,4457755580,265.5,274.5,263.5,272.0,12.5,10407
383,2011-07-21,6363278,1722039616,272.0,273.0,268.5,271.0,-1.0,4560
384,2011-07-22,16361957,4584155046,281.0,285.0,275.0,277.0,6.0,9531
385,2011-07-25,8167174,2228736390,277.0,277.5,270.0,270.5,-6.5,5267
386,2011-07-26,11258813,3135545453,275.0,281.0,273.5,281.0,10.5,7322
387,2011-07-27,10529245,2938310951,281.5,284.0,276.0,277.0,-4.0,7309
388,2011-07-28,15858393,4260362080,268.0,272.5,266.0,266.0,-11.0,11087
389,2011-07-29,12349116,3214614176,263.0,266.5,255.0,258.5,-7.5,8953
390,2011-08-01,11378821,2928978497,261.0,263.0,254.5,255.0,-3.5,7645
391,2011-08-02,14438602,3689839020,251.0,261.0,249.0,258.5,3.5,8688
392,2011-08-03,13579041,3436298363,252.5,255.5,250.0,251.5,-7.0,7587
393,2011-08-04,15798295,3888873583,252.0,254.5,237.5,237.5,-14.0,10815
394,2011-08-05,25367986,5715994822,221.0,232.0,221.0,224.0,-13.5,15689
395,2011-08-08,17489822,4029431026,233.0,235.0,225.0,231.0,7.0,11651
396,2011-08-09,23448480,5539620060,221.0,247.0,221.0,247.0,16.0,14578
397,2011-08-10,21952670,5629274860,255.0,261.0,253.0,256.0,9.0,13534
398,2011-08-11,20311954,5274091864,252.5,264.5,252.5,264.0,8.0,13446
399,2011-08-12,16479544,4358858896,269.0,271.5,256.5,257.0,-7.0,11899
400,2011-08-15,8912734,2360035212,265.0,267.5,261.0,266.5,9.5,6434
401,2011-08-16,8499729,2255494569,269.0,270.0,262.5,262.5,-4.0,6201
402,2011-08-17,10564988,2731721890,262.5,265.0,255.5,256.0,-6.5,7517
403,2011-08-18,10803093,2777574715,253.0,261.0,253.0,254.0,-2.0,7434
404,2011-08-19,13045549,3283673397,250.0,257.0,246.0,252.0,-2.0,9250
405,2011-08-22,18843326,4988789194,260.0,269.5,255.0,269.0,17.0,13109
406,2011-08-23,17295524,4654749552,270.0,273.0,264.0,272.0,3.0,11283
407,2011-08-24,27476645,7685435600,274.5,283.0,274.5,280.0,8.0,17302
408,2011-08-25,23231442,6659624702,285.0,291.5,281.0,281.0,1.0,15658
409,2011-08-26,18758033,5394532592,285.0,292.5,282.0,292.5,11.5,12986
410,2011-08-29,11909440,3452343100,292.5,292.5,287.5,289.0,-3.5,7447
411,2011-08-30,17084126,5018654201,291.0,298.0,288.5,290.0,1.0,10511
412,2011-08-31,12124304,3525118082,293.0,294.0,286.5,291.5,1.5,8402
413,2011-09-01,14739286,4354759440,294.5,300.5,290.0,290.0,-1.5,9969
414,2011-09-02,12992455,3799477011,290.0,296.0,288.0,293.5,3.5,8259
415,2011-09-05,13147787,3786063130,287.5,291.0,285.0,285.0,-8.5,8478
416,2011-09-06,19262495,5338145620,280.0,281.0,273.5,274.0,-11.0,13932
417,2011-09-07,15515672,4369173520,280.0,284.0,278.5,282.5,8.5,9656
418,2011-09-08,11105623,3148523721,285.0,285.5,281.0,283.5,1.0,7009
419,2011-09-09,11883666,3396612144,283.0,289.0,281.5,282.5,-1.0,8431
